Ticker,base_id,ticker_no,exchange_id,reference_id,source_no,pair_id,Name,Description,Refreshed,start,end,exchange
LIFFE_EPL1,566,1072,19,257,5,662,"Skimmed Milk Powder Futures, Continuous Contract #1 (EPL1) (Front Month)","Historical Futures Prices: Skimmed Milk Powder Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from LIFFE. For more on the roll algorithm used please see this page: http://www.quandl.com/futures/continuous.",3/13/2017 07:28,10/8/2013,1/6/2015,LIFFE
LIFFE_RC1,567,1073,19,257,5,663,"Robusta Coffee Future, Continuous Contract #1 (RC1) (Front Month)","Historical Futures Prices: Robusta Coffee Future, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from LIFFE.",7/15/2019 18:26,9/1/1993,7/11/2019,LIFFE
LIFFE_W1,568,1074,19,257,5,664,"White Sugar Future, Continuous Contract #1 (W1) (Front Month)","Historical Futures Prices: White Sugar Future, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from LIFFE.",7/15/2019 18:26,4/18/2011,7/11/2019,LIFFE
MCX_AG1,569,1075,18,257,5,665,"Silver 1000 Futures, February 2018, AGG2018, Continuous Contract #1 (AG1) (Front Month)","Historical Futures Prices: Silver 1000 Futures, February 2018, AGG2018, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",3/5/2018 19:26,12/6/2013,2/28/2018,MCX
MCX_AGM1,570,1076,18,257,5,666,"Silver Micro Futures, August 2019, AGMQ2019, Continuous Contract #1 (AGM1) (Front Month)","Historical Futures Prices: Silver Micro Futures, August 2019, AGMQ2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/6/2013,7/15/2019,MCX
MCX_B1,571,1077,18,257,5,667,"Brent Crude Oil Futures, June 2017, BM2017, Continuous Contract #1 (B1) (Front Month)","Historical Futures Prices: Brent Crude Oil Futures, June 2017, BM2017, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/3/2017 18:26,12/1/2014,6/29/2017,MCX
MCX_CL1,572,1078,18,257,5,668,"Crude Oil Futures, December 2019, CLZ2019, Continuous Contract #1 (CL1) (Front Month)","Historical Futures Prices: Crude Oil Futures, December 2019, CLZ2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/16/2013,7/15/2019,MCX
MCX_CT1,573,1079,18,257,5,669,"Cotton Futures, December 2019, CTZ2019, Continuous Contract #1 (CT1) (Front Month)","Historical Futures Prices: Cotton Futures, December 2019, CTZ2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/4/2013,7/15/2019,MCX
MCX_CU1,574,1080,18,257,5,670,"Copper Futures, August 2019, CUQ2019, Continuous Contract #1 (CU1) (Front Month)","Historical Futures Prices: Copper Futures, August 2019, CUQ2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/3/2013,7/15/2019,MCX
MCX_CUM1,575,1081,18,257,5,671,"Copper Mini Futures, June 2019, CUMM2019, Continuous Contract #1 (CUM1) (Front Month)","Historical Futures Prices: Copper Mini Futures, June 2019, CUMM2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/1/2019 18:26,12/3/2013,6/28/2019,MCX
MCX_GC1,576,1082,18,257,5,672,"Gold Futures, August 2019, GCQ2019, Continuous Contract #1 (GC1) (Front Month)","Historical Futures Prices: Gold Futures, August 2019, GCQ2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/4/2013,7/15/2019,MCX
MCX_GG1,577,1083,18,257,5,673,"Gold Guinea Futures, July 2019, GGN2019, Continuous Contract #1 (GG1) (Front Month)","Historical Futures Prices: Gold Guinea Futures, July 2019, GGN2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/5/2013,7/15/2019,MCX
MCX_GM1,578,1084,18,257,5,674,"Gold Mini Futures, August 2019, GMQ2019, Continuous Contract #1 (GM1) (Front Month)","Historical Futures Prices: Gold Mini Futures, August 2019, GMQ2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/6/2013,7/15/2019,MCX
MCX_GP1,579,1085,18,257,5,675,"Gold Petal Futures, July 2019, GPN2019, Continuous Contract #1 (GP1) (Front Month)","Historical Futures Prices: Gold Petal Futures, July 2019, GPN2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/5/2013,7/15/2019,MCX
MCX_KPK1,580,1086,18,257,5,676,"Kapasia Khalli (Cottonseed Oilcake) Futures, December 2015, KPKZ2015, Continuous Contract #1 (KPK1) (Front Month)","Historical Futures Prices: Kapasia Khalli (Cottonseed Oilcake) Futures, December 2015, KPKZ2015, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX. For more on the roll algorithm used please see this page: https://www.quandl.com/collections/futures/continuous.",3/13/2017 07:28,1/8/2015,11/27/2015,MCX
MCX_NG1,581,1087,18,257,5,677,"Natural Gas Futures, May 2019, NGK2019, Continuous Contract #1 (NG1) (Front Month)","Historical Futures Prices: Natural Gas Futures, May 2019, NGK2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",6/3/2019 18:26,12/6/2013,5/28/2019,MCX
MCX_SI1,582,1088,18,257,5,678,"Silver Futures, September 2019, SIU2019, Continuous Contract #1 (SI1) (Front Month)","Historical Futures Prices: Silver Futures, September 2019, SIU2019, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MCX.",7/16/2019 05:27,12/6/2013,7/15/2019,MCX
MGEX_IH1,583,1089,17,257,5,679,"Minneapolis HRWI Hard Red Wheat Futures, Continuous Contract #1 (IH1) (Front Month)","Historical Futures Prices: Minneapolis HRWI Hard Red Wheat Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MGEX.",7/16/2019 05:27,1/3/2005,7/15/2019,MGEX
MGEX_IP1,584,1090,17,257,5,680,"Minneapolis HRSI Hard Red Spring Futures, Continuous Contract #1 (IP1) (Front Month)","Historical Futures Prices: Minneapolis HRSI Hard Red Spring Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from MGEX.",7/16/2019 05:27,12/16/2004,7/15/2019,MGEX
SHFE_AU1,585,1091,20,257,5,681,"Shanghai Gold Futures, Continuous Contract #1 (AU1) (Front Month)","Historical Futures Prices: Shanghai Gold Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from SHFE.",7/16/2019 05:27,10/16/2013,7/15/2019,SHFE
SHFE_CU1,586,1092,20,257,5,682,"Shanghai Copper Futures, Continuous Contract #1 (CU1) (Front Month)","Historical Futures Prices: Shanghai Copper Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from SHFE.",7/16/2019 05:27,10/16/2013,7/15/2019,SHFE
SHFE_RU1,587,1093,20,257,5,683,"Shanghai Natural Rubber Futures, Continuous Contract #1 (RU1) (Front Month)","Historical Futures Prices: Shanghai Natural Rubber Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from SHFE.",7/16/2019 05:27,10/16/2013,7/15/2019,SHFE
