code,base_id,reference_asset_id,name,description,refreshed_at,from_date,to_date
CME_W422,3552,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #22 (W422)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #22. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",4/8/2019 23:35,2/18/2014,4/8/2019
CME_W423,3553,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #23 (W423)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #23. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",3/10/2019 03:26,2/18/2014,3/8/2019
CME_W424,3554,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #24 (W424)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #24. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",2/10/2019 03:26,2/18/2014,2/8/2019
CME_W425,3555,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #25 (W425)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #25. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/31/2018 03:26,2/18/2014,12/28/2018
CME_W426,3556,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #26 (W426)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #26. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",12/10/2018 03:26,2/18/2014,12/7/2018
CME_W427,3557,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #27 (W427)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #27. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",11/10/2018 03:26,2/18/2014,11/9/2018
CME_W428,3558,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #28 (W428)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #28. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",10/8/2018 23:27,8/6/2015,10/8/2018
CME_W429,3559,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #29 (W429)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #29. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",9/11/2018 23:27,8/6/2015,9/11/2018
CME_W43,3560,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #3 (W43)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #3. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W430,3561,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #30 (W430)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #30. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",8/8/2018 23:27,8/6/2015,8/7/2018
CME_W431,3562,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #31 (W431)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #31. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/10/2018 23:26,8/6/2015,7/10/2018
CME_W432,3563,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #32 (W432)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #32. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",6/10/2018 23:27,8/6/2015,6/8/2018
CME_W433,3564,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #33 (W433)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #33. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",5/8/2018 23:27,8/6/2015,5/7/2018
CME_W434,3565,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #34 (W434)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #34. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",4/9/2018 23:27,8/6/2015,4/6/2018
CME_W44,3566,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #4 (W44)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #4. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W45,3567,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #5 (W45)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W46,3568,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #6 (W46)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #6. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W47,3569,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #7 (W47)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #7. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W48,3570,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #8 (W48)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #8. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W49,3571,523,"PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #9 (W49)","Historical Futures Prices: PJM APS Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #9. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,2/18/2014,7/15/2019
CME_W5,3572,523,"Wheat Futures, Continuous Contract #5 (W5)","Historical Futures Prices: Wheat Futures, Continuous Contract #5. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,7/1/1959,7/15/2019
CME_W6,3573,523,"Wheat Futures, Continuous Contract #6 (W6)","Historical Futures Prices: Wheat Futures, Continuous Contract #6. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:28,7/1/1963,7/15/2019
CME_W61,3574,523,"PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #1 (W61) (Front Month)","Historical Futures Prices: PJM PSEG Zone Off-Peak Calendar-Month Day-Ahead LMP Futures, Continuous Contract #1. Non-adjusted price based on spot-month continuous contract calculations. Raw data from CME. ",7/16/2019 02:29,2/18/2014,7/15/2019
